folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
10,0.024,6,0.8,0.95,0,0.427733,417
8,0.026,6,0.8,0.95,0,0.43227,383
10,0.026,6,0.8,0.95,0,0.429101,377
8,0.028,6,0.8,0.95,0,0.431331,356
10,0.028,6,0.8,0.95,0,0.433706,333
8,0.03,6,0.8,0.95,0,0.436323,293
10,0.03,6,0.8,0.95,0,0.430382,322
8,0.01,7,0.8,0.95,0,0.433287,728
10,0.01,7,0.8,0.95,0,0.425608,842
8,0.012,7,0.8,0.95,0,0.430001,580
10,0.012,7,0.8,0.95,0,0.429071,701
8,0.014,7,0.8,0.95,0,0.430268,558
10,0.014,7,0.8,0.95,0,0.431454,459
8,0.016,7,0.8,0.95,0,0.429472,449
10,0.016,7,0.8,0.95,0,0.435385,439
8,0.018,7,0.8,0.95,0,0.433947,360
10,0.018,7,0.8,0.95,0,0.429305,433
8,0.02,7,0.8,0.95,0,0.434176,355
10,0.02,7,0.8,0.95,0,0.430098,387
8,0.022,7,0.8,0.95,0,0.43122,367
10,0.022,7,0.8,0.95,0,0.432969,302
8,0.024,7,0.8,0.95,0,0.430764,259
10,0.024,7,0.8,0.95,0,0.431967,331
8,0.026,7,0.8,0.95,0,0.43517,254
10,0.026,7,0.8,0.95,0,0.432415,300
8,0.028,7,0.8,0.95,0,0.434731,214
10,0.028,7,0.8,0.95,0,0.428682,261
8,0.03,7,0.8,0.95,0,0.434705,213
10,0.03,7,0.8,0.95,0,0.429815,289
8,0.01,4,1,0.95,0,0.451532,1000
10,0.01,4,1,0.95,0,0.451335,1000
8,0.012,4,1,0.95,0,0.446784,833
10,0.012,4,1,0.95,0,0.449123,832
8,0.014,4,1,0.95,0,0.447956,714
10,0.014,4,1,0.95,0,0.4502,713
8,0.016,4,1,0.95,0,0.452527,625
10,0.016,4,1,0.95,0,0.448391,624
8,0.018,4,1,0.95,0,0.447551,556
10,0.018,4,1,0.95,0,0.451422,556
8,0.02,4,1,0.95,0,0.450352,500
10,0.02,4,1,0.95,0,0.449108,498
8,0.022,4,1,0.95,0,0.449437,455
10,0.022,4,1,0.95,0,0.447812,455
8,0.024,4,1,0.95,0,0.450411,416
10,0.024,4,1,0.95,0,0.448466,417
8,0.026,4,1,0.95,0,0.45112,385
10,0.026,4,1,0.95,0,0.451122,385
8,0.028,4,1,0.95,0,0.445452,357
10,0.028,4,1,0.95,0,0.451901,357
8,0.03,4,1,0.95,0,0.451049,333
10,0.03,4,1,0.95,0,0.448541,333
8,0.01,5,1,0.95,0,0.435718,999
10,0.01,5,1,0.95,0,0.437844,997
8,0.012,5,1,0.95,0,0.437141,832
10,0.012,5,1,0.95,0,0.43883,830
8,0.014,5,1,0.95,0,0.439535,714
10,0.014,5,1,0.95,0,0.431312,714
8,0.016,5,1,0.95,0,0.437958,624
10,0.016,5,1,0.95,0,0.44061,624
8,0.018,5,1,0.95,0,0.440787,556
10,0.018,5,1,0.95,0,0.440058,556
8,0.02,5,1,0.95,0,0.440828,499
10,0.02,5,1,0.95,0,0.434761,499
8,0.022,5,1,0.95,0,0.435069,455
10,0.022,5,1,0.95,0,0.434658,455
8,0.024,5,1,0.95,0,0.433559,417
10,0.024,5,1,0.95,0,0.435744,417
8,0.026,5,1,0.95,0,0.43982,385
10,0.026,5,1,0.95,0,0.44013,376
8,0.028,5,1,0.95,0,0.440546,356
10,0.028,5,1,0.95,0,0.439686,357
8,0.03,5,1,0.95,0,0.441949,329
10,0.03,5,1,0.95,0,0.437088,333
8,0.01,6,1,0.95,0,0.433672,999
10,0.01,6,1,0.95,0,0.431158,1000
8,0.012,6,1,0.95,0,0.43302,768
10,0.012,6,1,0.95,0,0.434844,830
8,0.014,6,1,0.95,0,0.439028,713
10,0.014,6,1,0.95,0,0.431723,702
8,0.016,6,1,0.95,0,0.439347,543
10,0.016,6,1,0.95,0,0.429836,625
8,0.018,6,1,0.95,0,0.433582,554
10,0.018,6,1,0.95,0,0.432831,526
8,0.02,6,1,0.95,0,0.434111,484
10,0.02,6,1,0.95,0,0.434968,500
8,0.022,6,1,0.95,0,0.435294,451
10,0.022,6,1,0.95,0,0.429349,453
8,0.024,6,1,0.95,0,0.431848,396
10,0.024,6,1,0.95,0,0.43018,399
8,0.026,6,1,0.95,0,0.433849,370
10,0.026,6,1,0.95,0,0.43132,383
8,0.028,6,1,0.95,0,0.435879,323
10,0.028,6,1,0.95,0,0.4367,319
8,0.03,6,1,0.95,0,0.434933,333
10,0.03,6,1,0.95,0,0.428505,327
8,0.01,7,1,0.95,0,0.436252,638
10,0.01,7,1,0.95,0,0.425847,747
8,0.012,7,1,0.95,0,0.432624,564
10,0.012,7,1,0.95,0,0.424933,748
8,0.014,7,1,0.95,0,0.434958,525
10,0.014,7,1,0.95,0,0.428468,612
8,0.016,7,1,0.95,0,0.434006,460
10,0.016,7,1,0.95,0,0.428846,505
8,0.018,7,1,0.95,0,0.431385,392
10,0.018,7,1,0.95,0,0.433793,462
8,0.02,7,1,0.95,0,0.437882,384
10,0.02,7,1,0.95,0,0.429345,417
8,0.022,7,1,0.95,0,0.434485,316
10,0.022,7,1,0.95,0,0.430356,342
8,0.024,7,1,0.95,0,0.430905,299
10,0.024,7,1,0.95,0,0.43649,265
8,0.026,7,1,0.95,0,0.431601,256
10,0.026,7,1,0.95,0,0.426405,350
8,0.028,7,1,0.95,0,0.43563,227
10,0.028,7,1,0.95,0,0.430652,254
8,0.03,7,1,0.95,0,0.436925,233
